type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-06-22T10:59:25.059Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","morning","false","2026-06-22T10:59:31.655Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","morning","false","2026-06-22T10:59:40.449Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","any preferences?","false","2026-06-22T10:59:42.964Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","who do we kill","false","2026-06-22T10:59:45.713Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","gold","false","2026-06-22T10:59:50.181Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","i dont like gold","false","2026-06-22T10:59:52.701Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","yeah xD","false","2026-06-22T10:59:56.892Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","hahaha","false","2026-06-22T10:59:57.756Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","ok","false","2026-06-22T10:59:59.810Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Gold (seer) was found dead.","true","2026-06-22T11:00:13.128Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-22T11:00:13.145Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","damn","false","2026-06-22T11:00:19.962Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","unlucky","false","2026-06-22T11:00:27.408Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","unlucky","false","2026-06-22T11:00:28.707Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","thats hard","false","2026-06-22T11:00:31.289Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Red","WITCH","","yes","false","2026-06-22T11:00:31.936Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","damn what?","false","2026-06-22T11:00:34.417Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","im confused","false","2026-06-22T11:00:37.009Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","unlucky","false","2026-06-22T11:00:38.293Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","okay brown is sus haha same as last game","false","2026-06-22T11:00:52.665Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","i mean isnt there something about eating the rich? (gold ...)","false","2026-06-22T11:00:57.156Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","aaaanyways...","false","2026-06-22T11:01:06.446Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","System","","","No one voted. Red was randomly selected as Mayor. Their vote counts double.","true","2026-06-22T11:01:13.180Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","Okay I say we just guess and hope we will get lucky","false","2026-06-22T11:01:45.018Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","I think gray could be sus","false","2026-06-22T11:01:50.264Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","why??","false","2026-06-22T11:01:57.759Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","whys that?","false","2026-06-22T11:01:58.169Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","ooh, i just realized gold was the seer. ups no i get the issue","false","2026-06-22T11:02:11.723Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","he wrote that unlucky so late maybe trying to seem innocent after the other ones wrote it","false","2026-06-22T11:02:16.679Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","*now","false","2026-06-22T11:02:18.216Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","eh, he at least understood the problem","false","2026-06-22T11:02:37.575Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","choose me, i killed gold","false","2026-06-22T11:02:45.228Z"
"chat","9eb0210d-adbe-488d-9a38-5a4761028a41","P3WO10","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","exactly","false","2026-06-22T11:02:46.878Z"
