type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-15T10:57:10.314Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","NIGHT","Beatrix","WEREWOLF","","who should we kill?","false","2026-06-15T10:57:34.985Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","NIGHT","spcx","WEREWOLF","","i killed pink something","false","2026-06-15T10:57:47.856Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","NIGHT","Beatrix","WEREWOLF","","ok","false","2026-06-15T10:57:54.716Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. BrightestPink (villager) was found dead.","true","2026-06-15T10:58:04.854Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-15T10:58:04.865Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","System","","","Yellow has been elected Mayor. Their vote counts double.","true","2026-06-15T10:59:04.879Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","has anyone have something interesting?","false","2026-06-15T10:59:34.893Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","Beatrix","WEREWOLF","","Currently not","false","2026-06-15T10:59:46.600Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-06-15T11:01:38.090Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-06-15T11:02:06.389Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-06-15T11:02:44.786Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","2","NIGHT","Beatrix","WEREWOLF","","Should we kill mayor?","false","2026-06-15T11:03:00.084Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","2","NIGHT","spcx","WEREWOLF","","ok","false","2026-06-15T11:03:05.317Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","2","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-06-15T11:03:15.584Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","2","DAY","Leona","WITCH","","Okay I can vouch for yellow","false","2026-06-15T11:04:30.197Z"
"chat","3b3beea1-36b7-4142-a03e-a47fbb14502e","OX8OBY","CLASSIC","VILLAGERS","2","DAY","Wren","SEER","","who did the witch save","false","2026-06-15T11:04:31.994Z"
