type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-15T11:33:52.458Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","Mosh","WEREWOLF","","morning","false","2026-06-15T11:34:02.154Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","mythos","WEREWOLF","","who to kill xd","false","2026-06-15T11:34:11.594Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","mythos","WEREWOLF","","who did you vote for","false","2026-06-15T11:34:37.012Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","Mosh","WEREWOLF","","how wait, you cant see who i voted for?","false","2026-06-15T11:34:40.043Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","Mosh","WEREWOLF","","because i already forgot ...","false","2026-06-15T11:34:45.050Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","mythos","WEREWOLF","","nope","false","2026-06-15T11:34:45.355Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","Mosh","WEREWOLF","","hmm, so it wasnt the host, it was someone around the middle","false","2026-06-15T11:34:58.022Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","NIGHT","mythos","WEREWOLF","","ok let see","false","2026-06-15T11:35:09.027Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Casimir (villager) was found dead.","true","2026-06-15T11:35:23.912Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-15T11:35:23.928Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Kieran","VILLAGER","","Any one any thing?","false","2026-06-15T11:35:41.074Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Mosh","WEREWOLF","","did anything cool happen for you this night?","false","2026-06-15T11:35:44.637Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Dorian","VILLAGER","","nope","false","2026-06-15T11:36:04.394Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Petra","WITCH","","no for me as well","false","2026-06-15T11:36:13.910Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Kieran","VILLAGER","","I was sleeping tight","false","2026-06-15T11:36:14.053Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Alaric","VILLAGER","","was nobody elected maypr?","false","2026-06-15T11:37:04.649Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Mosh","WEREWOLF","","thats good for you, maybe you slept so good, because you have a full belly?","false","2026-06-15T11:37:07.501Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","mythos","WEREWOLF","","did seer see anything?","false","2026-06-15T11:37:11.213Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Kieran","VILLAGER","","since I was sleeping very well I feel rested and up for the responsibilities of the mayors office","false","2026-06-15T11:37:33.111Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Garrett","SEER","","Yes no mayor currently","false","2026-06-15T11:37:33.694Z"
"chat","97809dcb-c4ee-4baf-acb5-301240be66f6","706E87","CLASSIC","VILLAGERS","1","DAY","Dorian","VILLAGER","","yeah I think we have no mayor","false","2026-06-15T11:37:34.541Z"
