type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-29T11:32:16.836Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","NIGHT","Beige","WEREWOLF","","Lets start with cyan","false","2026-06-29T11:32:35.445Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","NIGHT","Pink","WEREWOLF","","k","false","2026-06-29T11:32:39.942Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Cyan (villager) was found dead.","true","2026-06-29T11:32:47.765Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-29T11:32:47.785Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Violet","SEER","","Hello again","false","2026-06-29T11:33:09.571Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","here we meet again","false","2026-06-29T11:33:15.854Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","since i am a villager, i must vote for myself","false","2026-06-29T11:33:21.074Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Green","WITCH","","hey, any leads","false","2026-06-29T11:33:24.542Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Violet","SEER","","okay yellow","false","2026-06-29T11:33:45.412Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","System","","","Gray has been elected Mayor. Their vote counts double.","true","2026-06-29T11:33:47.823Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","",":( i have failed my duties","false","2026-06-29T11:34:00.245Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Violet","SEER","",":(","false","2026-06-29T11:34:06.842Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Beige","WEREWOLF","","Who voted for gray?","false","2026-06-29T11:34:08.183Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Violet","SEER","","I voted for yellow","false","2026-06-29T11:34:13.776Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Green","WITCH","","yes?","false","2026-06-29T11:34:15.340Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","i did ... i missclicked","false","2026-06-29T11:34:17.202Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Beige","WEREWOLF","","and why?","false","2026-06-29T11:34:17.545Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Beige","WEREWOLF","","ah okay nvm then","false","2026-06-29T11:34:27.825Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","i voted for yellow as well they seemed anthusiastic","false","2026-06-29T11:34:31.845Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","but who voted for gray then as well? xD","false","2026-06-29T11:34:46.887Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Violet","SEER","","the others","false","2026-06-29T11:35:02.031Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Brown","VILLAGER","","gray mayor sus again xd","false","2026-06-29T11:35:05.176Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","true","false","2026-06-29T11:35:10.355Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Green","WITCH","","lol","false","2026-06-29T11:35:10.769Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Green","WITCH","","should we go for it","false","2026-06-29T11:35:20.382Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","he just became mayor without doing anything","false","2026-06-29T11:35:22.118Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","undeserved, if u ask me","false","2026-06-29T11:35:28.204Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Violet","SEER","","Everytime xD","false","2026-06-29T11:35:29.665Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","yeah probrably to random to kill him now","false","2026-06-29T11:35:37.495Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","i vote for the werewolves to kill gray","false","2026-06-29T11:35:41.756Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-06-29T11:36:53.404Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-06-29T11:37:08.511Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-06-29T11:38:19.643Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","2","NIGHT","Pink","WEREWOLF","","ok lets keep gray alive on purpose","false","2026-06-29T11:38:29.535Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","2","NIGHT","Beige","WEREWOLF","","Okay lets keep gray alive","false","2026-06-29T11:38:31.354Z"
"chat","7b1c2d38-eeb9-4e97-b627-270c8e42bb5d","08QBUU","CLASSIC","VILLAGERS","2","NIGHT","Beige","WEREWOLF","","yeah I voted for them haha","false","2026-06-29T11:38:38.673Z"
