type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-20T11:09:31.247Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","NIGHT","Cyan","WEREWOLF","","Hi","false","2026-07-20T11:09:36.790Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","hey","false","2026-07-20T11:09:40.948Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","NIGHT","Cyan","WEREWOLF","","Who should we kill?","false","2026-07-20T11:09:50.313Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","lets start with yellow","false","2026-07-20T11:09:55.460Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","NIGHT","Cyan","WEREWOLF","","Ok good choice","false","2026-07-20T11:10:01.802Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Yellow (seer) and Brown (villager) were found dead.","true","2026-07-20T11:10:21.896Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-20T11:10:21.910Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","damn","false","2026-07-20T11:10:33.205Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","Purple","WEREWOLF","","wtf","false","2026-07-20T11:10:33.596Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","Cyan","WEREWOLF","","wtf","false","2026-07-20T11:10:34.049Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","how?","false","2026-07-20T11:10:36.753Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","Cyan","WEREWOLF","","Why witch?","false","2026-07-20T11:10:44.005Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","witch?","false","2026-07-20T11:10:47.268Z"
"chat","30b0124d-c506-4342-adf7-50a572160d98","0B2VCD","CLASSIC","WEREWOLVES","1","DAY","System","","","Gray has been elected Mayor. Their vote counts double.","true","2026-07-20T11:11:21.982Z"
