type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-27T11:13:54.306Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Green (witch) was found dead.","true","2026-07-27T11:14:36.383Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-27T11:14:36.398Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Pink","VILLAGER","","F","false","2026-07-27T11:14:49.104Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","well","false","2026-07-27T11:14:50.408Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","White","SEER","","Good morning","false","2026-07-27T11:14:52.334Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Magenta","VILLAGER","","Oh no","false","2026-07-27T11:14:52.394Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Cyan","WEREWOLF","","bad start","false","2026-07-27T11:14:53.189Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","thats not great","false","2026-07-27T11:14:53.755Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","well well well","false","2026-07-27T11:14:56.873Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","anyways, i vote for beige","false","2026-07-27T11:15:08.216Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Pink","VILLAGER","","What about gray?","false","2026-07-27T11:15:18.647Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","that is a fully independent choice","false","2026-07-27T11:15:18.649Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","White","SEER","","Beige for Mayor","false","2026-07-27T11:15:20.254Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","gray whom?","false","2026-07-27T11:15:35.667Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","System","","","Beige has been elected Mayor. Their vote counts double.","true","2026-07-27T11:15:36.434Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","this universe does not contain gray","false","2026-07-27T11:15:46.394Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Pink","VILLAGER","","nooo","false","2026-07-27T11:15:51.616Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Cyan","WEREWOLF","","beige is here to lead the human folk again","false","2026-07-27T11:15:58.110Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","White","SEER","","Gray such a beautiful color","false","2026-07-27T11:16:02.707Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","i shall do the villagers justice","false","2026-07-27T11:16:04.788Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","beige, whom do you believe to be a traitor?","false","2026-07-27T11:16:25.697Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","I must analyse, cant tell rn","false","2026-07-27T11:16:53.149Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","very well","false","2026-07-27T11:17:00.564Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","White","SEER","","What about orange","false","2026-07-27T11:17:02.713Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","analyse away","false","2026-07-27T11:17:04.775Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","seer saw something?","false","2026-07-27T11:17:09.286Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","what about orange?","false","2026-07-27T11:17:13.254Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","White","SEER","","Something to say?","false","2026-07-27T11:17:18.696Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Pink","VILLAGER","","Why are you trying to out the seer?","false","2026-07-27T11:17:25.288Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","maybe they are mute?","false","2026-07-27T11:17:27.068Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-07-27T11:19:11.650Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-07-27T11:19:42.548Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-07-27T11:20:20.192Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","NIGHT","Cyan","WEREWOLF","","lets go pink","false","2026-07-27T11:20:28.970Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","NIGHT","Orange","WEREWOLF","","ok","false","2026-07-27T11:20:36.651Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","System","","","Dawn breaks. Pink (villager) was found dead.","true","2026-07-27T11:20:59.706Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Yellow","VILLAGER","","well","false","2026-07-27T11:21:48.782Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Yellow","VILLAGER","","have you finished analyzing just yet?","false","2026-07-27T11:22:06.962Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Cyan","WEREWOLF","","we need your wisdom beige","false","2026-07-27T11:22:08.255Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Beige","VILLAGER","","My analysis says: Yellow is werewolf","false","2026-07-27T11:22:36.919Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Yellow","VILLAGER","","cool","false","2026-07-27T11:22:42.923Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Yellow","VILLAGER","","so beige is a werewolf","false","2026-07-27T11:22:48.364Z"
"chat","4cd47cd5-cc32-48d4-b7f4-07092bbf9f57","10E5B4","CLASSIC","VILLAGERS","2","DAY","Orange","WEREWOLF","","I also think yellow","false","2026-07-27T11:22:49.624Z"
