type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-08-03T10:33:43.984Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","just random","false","2026-08-03T10:34:06.454Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","NIGHT","Orange","WEREWOLF","","yeah, yellow maybe?","false","2026-08-03T10:34:19.839Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","NIGHT","Orange","WEREWOLF","","ah ok","false","2026-08-03T10:34:24.653Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","i voted for green already while waiting...","false","2026-08-03T10:34:35.428Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","NIGHT","Orange","WEREWOLF","","yep saw it","false","2026-08-03T10:34:47.193Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-08-03T10:35:05.089Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-08-03T10:35:05.107Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Yellow","VILLAGER","","Somebody was scheming","false","2026-08-03T10:35:14.283Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Magenta","SEER","","good mordning","false","2026-08-03T10:35:15.905Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","Beige for mayor","false","2026-08-03T10:35:16.841Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Orange","WEREWOLF","","hellooo","false","2026-08-03T10:35:19.614Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Yellow","VILLAGER","","Beige for mayor!","false","2026-08-03T10:35:27.154Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Magenta","SEER","","what about Magenta for mayor? :)","false","2026-08-03T10:35:40.466Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","White","VILLAGER","","yellow and beige are big schemers","false","2026-08-03T10:35:41.524Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","Beige for mayor :3","false","2026-08-03T10:35:59.083Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","System","","","Green has been elected Mayor. Their vote counts double.","true","2026-08-03T10:36:05.135Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Magenta","SEER","","hahaha xD","false","2026-08-03T10:36:16.146Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Yellow","VILLAGER","","Ugh green is not my mayor","false","2026-08-03T10:36:19.833Z"
"chat","36d7fc1e-d909-4b3e-b4ca-232adf0f0bdc","2PN4RE","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","who voted for me xD","false","2026-08-03T10:36:23.317Z"
