type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-22T11:25:06.039Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","NIGHT","Blue","WEREWOLF","","who do you think we should kill?","false","2026-06-22T11:25:49.628Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","NIGHT","Gold","WEREWOLF","","no idea","false","2026-06-22T11:26:00.659Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","NIGHT","Gold","WEREWOLF","","random?","false","2026-06-22T11:26:03.696Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","NIGHT","Blue","WEREWOLF","","ok I picked purple","false","2026-06-22T11:26:09.232Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","NIGHT","Gold","WEREWOLF","","ok","false","2026-06-22T11:26:15.725Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Purple (villager) was found dead.","true","2026-06-22T11:26:30.326Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-22T11:26:30.347Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","I can do it","false","2026-06-22T11:26:39.164Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Lime","VILLAGER","","motivated ain ya","false","2026-06-22T11:26:49.855Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Blue","WEREWOLF","","hahaha","false","2026-06-22T11:26:54.984Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Gold","WEREWOLF","","everyone can but why you?","false","2026-06-22T11:26:56.552Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","born to lead","false","2026-06-22T11:26:58.298Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Gold","WEREWOLF","","ahhahhah Lime","false","2026-06-22T11:27:02.340Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Blue","WEREWOLF","","nice one","false","2026-06-22T11:27:03.463Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","I will always maximize shareholder value","false","2026-06-22T11:27:23.831Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","promise","false","2026-06-22T11:27:25.622Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","System","","","Blue has been elected Mayor. Their vote counts double.","true","2026-06-22T11:27:30.380Z"
"chat","d59e923e-8478-4514-9ccd-8d4ac5a18d5a","44UT6Y","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","Maybe we need to skip for now","false","2026-06-22T11:28:14.714Z"
