type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-06T11:11:10.207Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","NIGHT","Violet","WEREWOLF","","Evening","false","2026-07-06T11:11:17.772Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","whats up","false","2026-07-06T11:11:23.708Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","we got this","false","2026-07-06T11:11:27.336Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","NIGHT","Violet","WEREWOLF","","lets start with brown?","false","2026-07-06T11:11:40.485Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","yes","false","2026-07-06T11:11:44.324Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-06T11:11:58.861Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-06T11:11:58.874Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Red","SEER","","Good morning everyone","false","2026-07-06T11:12:08.287Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","","good morning","false","2026-07-06T11:12:14.189Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","","thanks witch!","false","2026-07-06T11:12:18.120Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Lime","VILLAGER","","heyy","false","2026-07-06T11:12:20.286Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Blue","VILLAGER","","Good, Morning!","false","2026-07-06T11:12:20.954Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Violet","WEREWOLF","","Morning","false","2026-07-06T11:12:24.469Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Red","SEER","","yeah Witch thanks","false","2026-07-06T11:12:25.928Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Blue","VILLAGER","","a bewitched day to everyone!","false","2026-07-06T11:12:40.336Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","witch always very helpful","false","2026-07-06T11:12:44.698Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","System","","","Brown has been elected Mayor. Their vote counts double.","true","2026-07-06T11:12:58.937Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","","oh no","false","2026-07-06T11:13:09.449Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Blue","VILLAGER","","oh yes!","false","2026-07-06T11:13:14.385Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Violet","WEREWOLF","","Was nice knowing you","false","2026-07-06T11:13:25.746Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","","does this mean i am going to get attacked once again","false","2026-07-06T11:13:28.981Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","",":((((","false","2026-07-06T11:13:42.877Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","","good luck people","false","2026-07-06T11:13:48.111Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Blue","VILLAGER","","'once again' - do you have some memories from an alternative universe?","false","2026-07-06T11:13:49.395Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Red","SEER","","In the last few rounds Mayor has always survived","false","2026-07-06T11:13:54.468Z"
"chat","c41dc34c-e760-4533-b483-0f2afd81ed75","4NB0JL","CLASSIC","VILLAGERS","1","DAY","Brown","WITCH","","no, witch saved me last night","false","2026-07-06T11:14:00.772Z"
