type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-22T10:35:04.642Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","NIGHT","Pink","WEREWOLF","","What do we do?","false","2026-06-22T10:35:13.318Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","NIGHT","Purple","WEREWOLF","","just random right so orange i guess. its anooying cause so similar to brown XD","false","2026-06-22T10:35:38.078Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","NIGHT","Pink","WEREWOLF","","Oh, I just selected someone...","false","2026-06-22T10:35:55.175Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Lime (villager) was found dead.","true","2026-06-22T10:36:04.108Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-22T10:36:04.130Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Yellow","WITCH","","why did the witch not save lime?","false","2026-06-22T10:36:30.228Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Cyan","VILLAGER","","Might be strategy to not reveal themselves to soon","false","2026-06-22T10:36:48.670Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Purple","WEREWOLF","","or Maybe lime was the witch","false","2026-06-22T10:36:58.723Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","System","","","Gray has been elected Mayor. Their vote counts double.","true","2026-06-22T10:37:04.161Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","Lime was villager. we can see the roles","false","2026-06-22T10:37:18.253Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Cyan","VILLAGER","","Okay maybe purple is sus","false","2026-06-22T10:37:22.989Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","","Yes, any leads from seer?","false","2026-06-22T10:37:30.190Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Yellow","WITCH","","but they could have saved them and not revealed themselves, still","false","2026-06-22T10:37:30.856Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Purple","WEREWOLF","","nah if forgot","false","2026-06-22T10:37:32.463Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Purple","WEREWOLF","","I forgot","false","2026-06-22T10:37:36.969Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Cyan","VILLAGER","","you can see the roles of dead people","false","2026-06-22T10:37:38.306Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Purple","WEREWOLF","","sry","false","2026-06-22T10:37:40.539Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","you can see though","false","2026-06-22T10:37:45.008Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Yellow","WITCH","","but why purple though? (tbf i also forgot those things in earlier games)","false","2026-06-22T10:37:52.212Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Yellow","WITCH","","doesnt mean anything i think (in either direction)","false","2026-06-22T10:38:05.953Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","right","false","2026-06-22T10:38:15.876Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Cyan","VILLAGER","","yeah and in that game you were a werewolf right?","false","2026-06-22T10:38:19.522Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","Any leads from seer?","false","2026-06-22T10:38:21.407Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Yellow","WITCH","","no, i was a villager, but it was like the first game i played and i wasnt sure if it showd factions or roles","false","2026-06-22T10:38:45.188Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Pink","WEREWOLF","","or maybe they also don't want to reveal themself?","false","2026-06-22T10:38:51.160Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Yellow","WITCH","","BUT this isnt the first game, so maybe it means something","false","2026-06-22T10:38:55.340Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","I think the seer doesn't have clue yet","false","2026-06-22T10:38:59.313Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-06-22T10:40:17.634Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-06-22T10:40:43.279Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-06-22T10:41:12.471Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","2","NIGHT","Purple","WEREWOLF","","sry i almost messed up","false","2026-06-22T10:41:23.616Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","2","NIGHT","Pink","WEREWOLF","","any idea?","false","2026-06-22T10:41:24.992Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","2","NIGHT","Purple","WEREWOLF","","gray because mayor?","false","2026-06-22T10:41:32.508Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","2","NIGHT","Pink","WEREWOLF","","no i think its okay","false","2026-06-22T10:41:35.861Z"
"chat","7ebf2dab-eb0c-4312-bbfb-57af36f57b34","4P2HR9","CLASSIC","VILLAGERS","2","NIGHT","Purple","WEREWOLF","","i dont know witch or seer honestly","false","2026-06-22T10:41:43.567Z"
