type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-06-22T10:13:50.988Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","Who should we choose?","false","2026-06-22T10:14:14.570Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","I picked lime","false","2026-06-22T10:14:23.428Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","randomly","false","2026-06-22T10:14:26.645Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","ok","false","2026-06-22T10:14:31.367Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-06-22T10:14:44.957Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-22T10:14:44.984Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","morning everybody, hope you had a pleasant night!","false","2026-06-22T10:15:12.724Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","Great actually","false","2026-06-22T10:15:21.975Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Orange","WITCH","","indeed","false","2026-06-22T10:15:22.521Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","who is the which and whom did they save?","false","2026-06-22T10:15:25.206Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","Hello everyone","false","2026-06-22T10:15:33.277Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Orange","WITCH","","i am witch, and i saved lime","false","2026-06-22T10:15:39.849Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","White","VILLAGER","","good morning","false","2026-06-22T10:15:42.256Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","System","","","Lime has been elected Mayor. Their vote counts double.","true","2026-06-22T10:15:45.018Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","any other contestants wanting to be the witch?","false","2026-06-22T10:16:14.116Z"
"chat","7ced9961-b916-4970-ad79-1863f9cd3be3","928B2K","CLASSIC","WEREWOLVES","1","DAY","Orange","WITCH","","watchu mean","false","2026-06-22T10:16:23.775Z"
