type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-29T10:54:39.884Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","kill, whom?","false","2026-06-29T10:54:50.651Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","NIGHT","Brown","WEREWOLF","","Lime?","false","2026-06-29T10:54:53.196Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","sure","false","2026-06-29T10:54:56.181Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-06-29T10:55:16.275Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-29T10:55:16.300Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","good morning, fellow humans","false","2026-06-29T10:55:25.580Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","who saved whom?","false","2026-06-29T10:55:30.355Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Cyan","VILLAGER","","how are xya?","false","2026-06-29T10:55:32.726Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Red","WITCH","","I saved lime","false","2026-06-29T10:55:34.624Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","whats an xya?","false","2026-06-29T10:55:39.639Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","so lime & red are save, thats good","false","2026-06-29T10:55:53.823Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","*presumably","false","2026-06-29T10:55:57.766Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Cyan","VILLAGER","","typo that is what that is gray","false","2026-06-29T10:56:04.567Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","Anyone contesting that?","false","2026-06-29T10:56:06.064Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","System","","","Lime has been elected Mayor. Their vote counts double.","true","2026-06-29T10:56:16.385Z"
"chat","b609e849-9cb5-4b0c-a116-11ef74747dcb","9DVXLA","CLASSIC","VILLAGERS","1","DAY","Violet","VILLAGER","","any other ideas?","false","2026-06-29T10:56:39.208Z"
