type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-15T10:13:28.554Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","Xander","WEREWOLF","","I picked randomly","false","2026-06-15T10:14:15.748Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-06-15T10:14:29.546Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-15T10:14:29.558Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","i am the witch and somewone wanted to kill me","false","2026-06-15T10:14:47.859Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","ive used my potion to save someone","false","2026-06-15T10:14:53.261Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","*save me","false","2026-06-15T10:15:01.163Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","SPCX","VILLAGER","","Who did you save","false","2026-06-15T10:15:14.222Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","if u want i can prove it by killing somebody next round","false","2026-06-15T10:15:18.534Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","myself","false","2026-06-15T10:15:21.116Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","i was attacked","false","2026-06-15T10:15:23.639Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","System","","","TheTorminator has been elected Mayor. Their vote counts double.","true","2026-06-15T10:15:29.569Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","Garrick","VILLAGER","","please dont kill anyone next round to prove yourself","false","2026-06-15T10:16:00.450Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","SPCX","VILLAGER","","But the witch can see who attacked who right?","false","2026-06-15T10:16:06.584Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","well, im gonna assume i will die next round, since the werewolves know for certain that i am the witch (assuming they dont play mightgames to discredit me)","false","2026-06-15T10:16:11.343Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","no, i only see who has been attacked, not by whom","false","2026-06-15T10:16:27.880Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","btw who is the seer?","false","2026-06-15T10:16:32.327Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","did they see anything interesting?","false","2026-06-15T10:16:37.869Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","TheTorminator","WITCH","","i assume they didnt then... this is going great for me","false","2026-06-15T10:17:15.605Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","Garrick","VILLAGER","","i guess nobody saw anything this night","false","2026-06-15T10:17:19.854Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","Xander","WEREWOLF","","I think it would be better if he didn't expose himself","false","2026-06-15T10:17:26.421Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-06-15T10:22:14.982Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-06-15T10:23:14.996Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-06-15T10:28:30.568Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","NIGHT","Dusk","WEREWOLF","","Kill Mayor?","false","2026-06-15T10:29:08.243Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","NIGHT","Xander","WEREWOLF","","we can do that","false","2026-06-15T10:29:19.198Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","System","","","Dawn breaks. TheTorminator (witch) was found dead.","true","2026-06-15T10:29:23.696Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","System","","","The village must elect a Mayor.","true","2026-06-15T10:29:23.707Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","Seraphina","VILLAGER","","I don't have anything to go off of","false","2026-06-15T10:30:18.282Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","System","","","Seraphina has been elected Mayor. Their vote counts double.","true","2026-06-15T10:30:23.723Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","Gideon","VILLAGER","","There arent many clues i think","false","2026-06-15T10:31:54.613Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","Elara","SEER","","Does anyone have smth to say?","false","2026-06-15T10:31:58.117Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","Gideon","VILLAGER","","Maybe seer saw something after two nights?","false","2026-06-15T10:32:13.837Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","Gideon","VILLAGER","","even if villagers you can back them up","false","2026-06-15T10:32:27.058Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","System","","","Voting begins.","true","2026-06-15T10:34:22.124Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-06-15T10:34:51.317Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","NIGHT","System","","","Night 3 begins.","true","2026-06-15T10:36:48.473Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","NIGHT","Xander","WEREWOLF","","we can again get the mayor maybe","false","2026-06-15T10:37:23.075Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","NIGHT","Dusk","WEREWOLF","","ok","false","2026-06-15T10:37:30.034Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","System","","","Dawn breaks. Seraphina (villager) was found dead.","true","2026-06-15T10:37:41.761Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","System","","","The village must elect a Mayor.","true","2026-06-15T10:37:41.772Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Gideon","VILLAGER","","I should be mayor I am vilager","false","2026-06-15T10:38:02.914Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Elara","SEER","","guys I am seer, Gideon serephine and spcc is human","false","2026-06-15T10:38:22.833Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","System","","","Gideon has been elected Mayor. Their vote counts double.","true","2026-06-15T10:38:41.787Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Garrick","VILLAGER","","i am villager too, it must be dusk and xander then","false","2026-06-15T10:40:15.662Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Garrick","VILLAGER","","you can kill me but if what elara says is real, then the other are 100% werewolf","false","2026-06-15T10:40:41.253Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Gideon","VILLAGER","","ok i say go for it","false","2026-06-15T10:40:47.936Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Gideon","VILLAGER","","kill xander first","false","2026-06-15T10:41:04.216Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Xander","WEREWOLF","","why me?","false","2026-06-15T10:41:12.115Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Gideon","VILLAGER","","well do you have anything plausible to defend yourself","false","2026-06-15T10:41:27.864Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Xander","WEREWOLF","","garrick plays wisely as a werewolf","false","2026-06-15T10:41:37.929Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","Garrick","VILLAGER","","you are not even saying that you are villagers","false","2026-06-15T10:42:04.865Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","System","","","Voting begins.","true","2026-06-15T10:44:02.008Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","DAY","System","","","The village voted. Dusk (werewolf) has been eliminated.","true","2026-06-15T10:45:02.076Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","NIGHT","System","","","Night 4 begins.","true","2026-06-15T10:46:42.601Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","System","","","Dawn breaks. Gideon (villager) was found dead.","true","2026-06-15T10:47:13.107Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","System","","","The village must elect a Mayor.","true","2026-06-15T10:47:13.120Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","Elara","SEER","","saw Xanders role it was werevolf","false","2026-06-15T10:47:27.919Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","SPCX","VILLAGER","","Okay","false","2026-06-15T10:47:34.904Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","Garrick","VILLAGER","","great","false","2026-06-15T10:47:35.950Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","Xander","WEREWOLF","","perfect","false","2026-06-15T10:47:59.154Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","System","","","Garrick has been elected Mayor. Their vote counts double.","true","2026-06-15T10:48:13.133Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","System","","","Voting begins.","true","2026-06-15T10:48:50.824Z"
"chat","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","DAY","System","","","The village voted. Xander (werewolf) has been eliminated.","true","2026-06-15T10:49:20.458Z"
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","Xander","WEREWOLF","TheTorminator","KILL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","Elara","SEER","Seraphina","INVESTIGATE","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","Dusk","WEREWOLF","TheTorminator","KILL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","TheTorminator","WITCH","TheTorminator","HEAL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","NIGHT","Elara","SEER","Gideon","INVESTIGATE","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","NIGHT","Dusk","WEREWOLF","TheTorminator","KILL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","2","NIGHT","Xander","WEREWOLF","TheTorminator","KILL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","NIGHT","Elara","SEER","SPCX","INVESTIGATE","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","NIGHT","Dusk","WEREWOLF","Seraphina","KILL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","3","NIGHT","Xander","WEREWOLF","Seraphina","KILL","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","NIGHT","Elara","SEER","Xander","INVESTIGATE","false",""
"night_action","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","4","NIGHT","Xander","WEREWOLF","Gideon","KILL","false",""
"note","30bcd6c1-d10f-4d77-a2d8-2e2f39295127","AA0F7O","CLASSIC","VILLAGERS","1","NIGHT","Elara","SEER","","seraphina is human","false","2026-06-15T10:14:23.422Z"
