type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-20T10:32:58.481Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","NIGHT","White","WEREWOLF","","Hi","false","2026-07-20T10:33:03.567Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","NIGHT","Cyan","WEREWOLF","","hi","false","2026-07-20T10:33:12.986Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","NIGHT","White","WEREWOLF","","Who should we kill?","false","2026-07-20T10:33:22.858Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","NIGHT","Cyan","WEREWOLF","","lime","false","2026-07-20T10:33:28.849Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","NIGHT","White","WEREWOLF","","Ok","false","2026-07-20T10:33:34.843Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Lime (villager) was found dead.","true","2026-07-20T10:33:45.844Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-20T10:33:45.857Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","DAY","White","WEREWOLF","","good morining","false","2026-07-20T10:34:00.428Z"
"chat","e4bdf5fd-1fbf-4185-872a-11049d2771bb","BCJ5R2","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","moinsen","false","2026-07-20T10:34:04.560Z"
