type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-07T09:19:08.754Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","hey","false","2026-07-07T09:19:17.228Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","hey","false","2026-07-07T09:19:22.401Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","beige","false","2026-07-07T09:19:29.220Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","ok","false","2026-07-07T09:19:34.636Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Beige (seer) was found dead.","true","2026-07-07T09:20:19.048Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-07T09:20:19.065Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Brown","WITCH","","oh man","false","2026-07-07T09:20:28.276Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","Good morning","false","2026-07-07T09:20:29.741Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","well, thats not .. ideal","false","2026-07-07T09:20:30.162Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","oh","false","2026-07-07T09:20:31.743Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","",":(","false","2026-07-07T09:20:37.618Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","f","false","2026-07-07T09:20:41.587Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","uhm, who ate poor, human beige?","false","2026-07-07T09:20:46.394Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","sad","false","2026-07-07T09:20:55.058Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","Maybe you red","false","2026-07-07T09:20:55.423Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","red is already bloody","false","2026-07-07T09:21:09.036Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","hmm, just cuz my name is red?","false","2026-07-07T09:21:11.095Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","yess exactly","false","2026-07-07T09:21:17.033Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","System","","","Green has been elected Mayor. Their vote counts double.","true","2026-07-07T09:21:19.101Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","last night your name was white","false","2026-07-07T09:21:33.413Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","anyways, i think we would skip","false","2026-07-07T09:21:52.569Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","I ate some cornflakes","false","2026-07-07T09:21:52.848Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","btw who voted for green?","false","2026-07-07T09:21:54.777Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","we dont have any info","false","2026-07-07T09:21:55.617Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","i didnt","false","2026-07-07T09:21:59.563Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","yes we can skip","false","2026-07-07T09:22:05.604Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","i ate some red meat","false","2026-07-07T09:22:12.934Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","*non human based","false","2026-07-07T09:22:18.750Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","Oh oh red","false","2026-07-07T09:22:19.236Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","maybe we go all in on yellow","false","2026-07-07T09:22:19.884Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","yellow?","false","2026-07-07T09:22:30.409Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","why exactly","false","2026-07-07T09:22:31.592Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","I dont like that color","false","2026-07-07T09:22:32.168Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","why?","false","2026-07-07T09:22:32.773Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","i think green really wants someone to die for no reason","false","2026-07-07T09:22:46.898Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","wow","false","2026-07-07T09:22:46.933Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","green sus honestly","false","2026-07-07T09:22:47.664Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","thats not a reason","false","2026-07-07T09:22:50.015Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","ok then skip","false","2026-07-07T09:22:56.488Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Brown","WITCH","","we can go all in on green the","false","2026-07-07T09:23:00.379Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","yeah green just attacks everyone","false","2026-07-07T09:23:01.488Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","hmm, now u want to skip xD","false","2026-07-07T09:23:03.741Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","now that everybody hates u","false","2026-07-07T09:23:08.629Z"
"chat","8e69fadb-6b7a-421f-9706-54451ad69622","C6E7VO","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","lets lynch green","false","2026-07-07T09:23:12.925Z"
