type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-06-23T09:02:10.392Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","NIGHT","Beige","WEREWOLF","","lets do random and hope for seer","false","2026-06-23T09:02:31.811Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","Who","false","2026-06-23T09:02:40.477Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","NIGHT","Beige","WEREWOLF","","i picked yellow","false","2026-06-23T09:02:47.742Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Yellow (witch) was found dead.","true","2026-06-23T09:03:04.901Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-23T09:03:04.907Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","not a good start","false","2026-06-23T09:03:13.618Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","why did they not save themselves?","false","2026-06-23T09:03:16.693Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","yes good point","false","2026-06-23T09:03:22.293Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","they cant","false","2026-06-23T09:03:23.083Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","thats ... inconvinient","false","2026-06-23T09:03:25.401Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","we changed it","false","2026-06-23T09:03:26.066Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Brown","VILLAGER","","wow","false","2026-06-23T09:03:29.064Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","oh oki","false","2026-06-23T09:03:29.677Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","they did last round no?","false","2026-06-23T09:03:34.264Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","good to know :)","false","2026-06-23T09:03:34.293Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","In first round it's possible","false","2026-06-23T09:03:35.269Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","really?","false","2026-06-23T09:03:42.925Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","regardless: they dead","false","2026-06-23T09:03:56.851Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Purple","SEER","","yes","false","2026-06-23T09:03:58.643Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","yeah","false","2026-06-23T09:04:02.132Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","at least the witch claimed to have saved themselves","false","2026-06-23T09:04:03.497Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","System","","","Purple has been elected Mayor. Their vote counts double.","true","2026-06-23T09:04:04.928Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","i assume the seer didnt see anything or they would have come out by now","false","2026-06-23T09:04:31.130Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","so no leads. do we skip then?","false","2026-06-23T09:04:36.951Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Brown","VILLAGER","","who picked purple to be mayor?","false","2026-06-23T09:04:39.011Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","random, i think?","false","2026-06-23T09:04:45.731Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","Could be","false","2026-06-23T09:04:54.654Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","or tie","false","2026-06-23T09:04:58.727Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Purple","SEER","","probably","false","2026-06-23T09:05:00.962Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","i didnt even vote","false","2026-06-23T09:05:08.565Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Brown","VILLAGER","","It states the random in chat as I remember","false","2026-06-23T09:05:08.948Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","I voted for beige","false","2026-06-23T09:05:12.128Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Purple","SEER","","why","false","2026-06-23T09:05:22.441Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","was random","false","2026-06-23T09:05:29.724Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Purple","SEER","","okay","false","2026-06-23T09:05:36.402Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","i dont want to be mayor","false","2026-06-23T09:05:42.543Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","the mayor dies so fast :C","false","2026-06-23T09:05:52.880Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","not again xD","false","2026-06-23T09:05:56.452Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","Lime","VILLAGER","","i vote to skip for now, but beige and purple are *slightly* sus, mostly gut feeling tho","false","2026-06-23T09:05:59.899Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","System","","","Voting begins.","true","2026-06-23T09:07:14.240Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-06-23T09:07:46.690Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","System","","","Night 2 begins.","true","2026-06-23T09:07:56.223Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","lets keep purple alive so its sus because he is mayor","false","2026-06-23T09:08:08.413Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","i say we go brown","false","2026-06-23T09:08:14.017Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","Pink","WEREWOLF","","Cyan?","false","2026-06-23T09:08:25.815Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","why cyan?","false","2026-06-23T09:08:31.404Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","Pink","WEREWOLF","","Hoping it's seer","false","2026-06-23T09:08:40.130Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","ok","false","2026-06-23T09:08:57.429Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","DAY","System","","","Dawn breaks. Cyan (villager) was found dead.","true","2026-06-23T09:09:04.429Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","DAY","System","","","The village must elect a Mayor.","true","2026-06-23T09:09:04.435Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","DAY","Purple","SEER","","pink is werewolf lime is innocent","false","2026-06-23T09:09:23.943Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","DAY","Purple","SEER","","i am the seer","false","2026-06-23T09:09:30.267Z"
"chat","352fd9ba-3b12-4f04-90ea-71ca493917ef","CCUTH3","CLASSIC","WEREWOLVES","2","DAY","Purple","SEER","","lime can probably confirm xd","false","2026-06-23T09:09:42.484Z"
