type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-06T10:05:56.957Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","NIGHT","Beige","WEREWOLF","","lets murder green","false","2026-07-06T10:06:13.030Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","NIGHT","Brown","WEREWOLF","","ok","false","2026-07-06T10:06:42.502Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Green (villager) was found dead.","true","2026-07-06T10:06:50.999Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-06T10:06:51.013Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Purple","VILLAGER","","Hello everyone","false","2026-07-06T10:07:00.576Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","good morning","false","2026-07-06T10:07:03.567Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","Mornin","false","2026-07-06T10:07:05.274Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","Hi","false","2026-07-06T10:07:05.666Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gray","WITCH","","hey hey","false","2026-07-06T10:07:05.690Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","How is it going","false","2026-07-06T10:07:06.238Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Pink","SEER","","good","false","2026-07-06T10:07:15.949Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","fun fact: i will be the best mayor you can imagine","false","2026-07-06T10:07:26.895Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Purple","VILLAGER","","Does anyone want to be mayor?","false","2026-07-06T10:07:28.537Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","just a thought though","false","2026-07-06T10:07:34.046Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Purple","VILLAGER","","Ok Gold xD","false","2026-07-06T10:07:40.680Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Brown","WEREWOLF","","Hmm","false","2026-07-06T10:07:43.349Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","System","","","Gold has been elected Mayor. Their vote counts double.","true","2026-07-06T10:07:51.039Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","Ok gold lets see what the best mayor imaginable can do :D","false","2026-07-06T10:08:11.899Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","nice, my first decree: all werewolves must out themselves now or are hereby banished from the village!!","false","2026-07-06T10:08:25.881Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","...","false","2026-07-06T10:08:50.305Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","anybody?","false","2026-07-06T10:08:53.031Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Purple","VILLAGER","","I just had a delicious breakfast","false","2026-07-06T10:08:58.742Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","what about the non werewolfs?","false","2026-07-06T10:09:00.944Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","purple sus","false","2026-07-06T10:09:08.206Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","they must not kill non werewolves!!","false","2026-07-06T10:09:13.529Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Purple","VILLAGER","","It was vegan","false","2026-07-06T10:09:20.519Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","you sure?","false","2026-07-06T10:09:27.939Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Pink","SEER","","like green?","false","2026-07-06T10:09:28.227Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","okay its fine then","false","2026-07-06T10:09:30.673Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","so you only ate their clothes?","false","2026-07-06T10:09:33.801Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gray","WITCH","","anyways any leads?","false","2026-07-06T10:09:41.375Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Purple","VILLAGER","","I only ate a honey bread","false","2026-07-06T10:09:48.913Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","Gold","VILLAGER","","not really, i think","false","2026-07-06T10:09:50.145Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","System","","","Voting begins.","true","2026-07-06T10:11:59.123Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-07-06T10:12:09.623Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","2","NIGHT","System","","","Night 2 begins.","true","2026-07-06T10:12:19.316Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","lets keep gold alive","false","2026-07-06T10:12:25.593Z"
"chat","c84faf03-b6cc-4e88-8084-345b799a6259","DWVRGI","CLASSIC","WEREWOLVES","2","NIGHT","Brown","WEREWOLF","","gold","false","2026-07-06T10:12:26.389Z"
