type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-06-29T11:15:18.407Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","I pick lime","false","2026-06-29T11:15:36.065Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","NIGHT","Beige","WEREWOLF","","purple rain","false","2026-06-29T11:15:37.845Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","okay :)","false","2026-06-29T11:15:46.383Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Purple (villager) was found dead.","true","2026-06-29T11:16:03.395Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-29T11:16:03.414Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","DAY","Beige","WEREWOLF","","any leads?","false","2026-06-29T11:16:23.056Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","DAY","Blue","VILLAGER","","Good morning","false","2026-06-29T11:16:23.496Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","DAY","Brown","VILLAGER","","heyy","false","2026-06-29T11:16:30.367Z"
"chat","8d895e99-ec1f-4e64-b6d2-9f999731645c","EVDAA3","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","hey hey","false","2026-06-29T11:16:37.201Z"
