type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-08-03T10:12:11.287Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","NIGHT","Beige","WEREWOLF","","violet?","false","2026-08-03T10:12:21.630Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","hey","false","2026-08-03T10:12:26.205Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","ok","false","2026-08-03T10:12:27.513Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Violet (seer) was found dead.","true","2026-08-03T10:12:36.136Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-08-03T10:12:36.155Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","damn","false","2026-08-03T10:12:45.319Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","White","WITCH","",":(","false","2026-08-03T10:12:45.828Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","",":(","false","2026-08-03T10:12:47.217Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","yoo","false","2026-08-03T10:12:47.458Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","witch should have saved","false","2026-08-03T10:12:51.585Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Cyan","VILLAGER","","nooo","false","2026-08-03T10:12:53.521Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","witch..","false","2026-08-03T10:13:07.363Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","Vote me for mayor and I will kill all werewolfs","false","2026-08-03T10:13:08.658Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","White","WITCH","","But how should the witch know that?","false","2026-08-03T10:13:26.379Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","System","","","Green has been elected Mayor. Their vote counts double.","true","2026-08-03T10:13:36.198Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","yeah","false","2026-08-03T10:13:36.282Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","oh noo","false","2026-08-03T10:13:48.916Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","who voted for green?","false","2026-08-03T10:14:01.871Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","White","WITCH","","Nobody?","false","2026-08-03T10:14:15.029Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Beige","WEREWOLF","","i voted for orange they seemed motivated","false","2026-08-03T10:14:16.233Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","They are indeed","false","2026-08-03T10:14:31.802Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","Lets start killing people","false","2026-08-03T10:15:16.571Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","We dont have the seer so we need to take a chance","false","2026-08-03T10:15:33.337Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","System","","","Voting begins.","true","2026-08-03T10:16:38.716Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-08-03T10:17:13.872Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","2","NIGHT","System","","","Night 2 begins.","true","2026-08-03T10:17:42.166Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","orange is sus for them nice","false","2026-08-03T10:17:51.035Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","2","NIGHT","Beige","WEREWOLF","","lets kill pink i think","false","2026-08-03T10:17:59.632Z"
"chat","82170309-0caf-425a-b753-f35820658055","FX4MJS","CLASSIC","WEREWOLVES","2","NIGHT","Yellow","WEREWOLF","","okay doesnt matter","false","2026-08-03T10:18:12.870Z"
