type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-06T10:26:34.135Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","hey","false","2026-07-06T10:26:40.423Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","NIGHT","Orange","WEREWOLF","","hey","false","2026-07-06T10:26:43.078Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","NIGHT","Orange","WEREWOLF","","green?","false","2026-07-06T10:26:47.233Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","ok","false","2026-07-06T10:26:50.197Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-06T10:27:05.465Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-06T10:27:05.481Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","thank you Witch","false","2026-07-06T10:27:15.000Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","Vote me if you want the Werewolfs dead","false","2026-07-06T10:27:24.526Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","ok gray is safe","false","2026-07-06T10:27:31.221Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Pink","VILLAGER","","why?","false","2026-07-06T10:27:42.753Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Orange","WEREWOLF","","why?","false","2026-07-06T10:27:45.047Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Purple","WEREWOLF","","are u witch?","false","2026-07-06T10:27:47.386Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","I don't want to be mayor then","false","2026-07-06T10:27:53.852Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","no,i am thinking he was just saved by witch","false","2026-07-06T10:28:04.014Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","System","","","Pink has been elected Mayor. Their vote counts double.","true","2026-07-06T10:28:05.506Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","I can not see it","false","2026-07-06T10:28:24.037Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Pink","VILLAGER","","but they dont know","false","2026-07-06T10:28:29.820Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","It was only in general a thank you to the witch","false","2026-07-06T10:28:40.084Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Yellow","WITCH","","beige maybe sus but maybe just lost","false","2026-07-06T10:28:40.768Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","why did you say thank you with @gray?","false","2026-07-06T10:28:41.102Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Orange","WEREWOLF","","only witch can tell","false","2026-07-06T10:28:43.527Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Pink","VILLAGER","","because nobody is dead","false","2026-07-06T10:29:28.177Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Pink","VILLAGER","","its always the ones who don't know the rules haha","false","2026-07-06T10:29:53.942Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","Green","SEER","","i mean if nobody is contesting being saved by the witch, then gray is save","false","2026-07-06T10:29:59.312Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","System","","","Voting begins.","true","2026-07-06T10:30:59.492Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-07-06T10:31:49.755Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","System","","","Night 2 begins.","true","2026-07-06T10:32:20.630Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Orange","WEREWOLF","","maybe lets try green again?","false","2026-07-06T10:32:32.014Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Purple","WEREWOLF","","why?","false","2026-07-06T10:32:37.954Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Purple","WEREWOLF","","he is inno for sure","false","2026-07-06T10:32:53.248Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Orange","WEREWOLF","","bc witch knows they are human","false","2026-07-06T10:32:55.117Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Purple","WEREWOLF","","hmm","false","2026-07-06T10:33:07.278Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Orange","WEREWOLF","","we can kill it before that","false","2026-07-06T10:33:17.048Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","NIGHT","Purple","WEREWOLF","","i would suggest mayor but ok","false","2026-07-06T10:33:21.637Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","System","","","Dawn breaks. Green (seer) and Purple (werewolf) were found dead.","true","2026-07-06T10:33:49.777Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Orange","WEREWOLF","","wow","false","2026-07-06T10:34:38.870Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Pink","VILLAGER","","Witch rules","false","2026-07-06T10:34:40.131Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Beige","VILLAGER","","purple mf","false","2026-07-06T10:34:42.375Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Gray","VILLAGER","","I fell out of bed because of the loud noise in the night","false","2026-07-06T10:34:46.850Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Yellow","WITCH","","haha i am witch i saved green first round and destroyed purple","false","2026-07-06T10:34:49.216Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Yellow","WITCH","","they went for green again","false","2026-07-06T10:34:59.457Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Orange","WEREWOLF","","nice job","false","2026-07-06T10:35:00.460Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Yellow","WITCH","","sadly","false","2026-07-06T10:35:02.836Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Pink","VILLAGER","","how did you know its purple?","false","2026-07-06T10:35:04.071Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Gray","VILLAGER","","Yes good point","false","2026-07-06T10:35:15.450Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Beige","VILLAGER","","his comments were very sus","false","2026-07-06T10:35:17.662Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Yellow","WITCH","","asked very briefly who is witch","false","2026-07-06T10:35:20.348Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Yellow","WITCH","","purple","false","2026-07-06T10:35:24.190Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Pink","VILLAGER","","ah okay","false","2026-07-06T10:35:29.043Z"
"chat","532e59ac-5894-415e-901f-eb55f9c5e8a0","HIB65W","CLASSIC","WEREWOLVES","2","DAY","Yellow","WITCH","","and then gut feeling","false","2026-07-06T10:35:30.589Z"
