type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-06T11:32:04.927Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","any preferences?","false","2026-07-06T11:32:14.741Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","NIGHT","Violet","WEREWOLF","","no idea","false","2026-07-06T11:32:22.365Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","NIGHT","Violet","WEREWOLF","","pink?","false","2026-07-06T11:32:25.990Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","NIGHT","Gray","WEREWOLF","","sure","false","2026-07-06T11:32:28.731Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-06T11:32:44.603Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-06T11:32:44.616Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","good morning :)","false","2026-07-06T11:32:57.418Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","goood morning","false","2026-07-06T11:33:00.597Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Violet","WEREWOLF","","heyy","false","2026-07-06T11:33:04.763Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","bad morning","false","2026-07-06T11:33:07.263Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Gold","VILLAGER","","hi","false","2026-07-06T11:33:11.865Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Blue","VILLAGER","","hii","false","2026-07-06T11:33:14.661Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","oh what orange?","false","2026-07-06T11:33:17.705Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","can we agree to a medium morning at least?","false","2026-07-06T11:33:20.937Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","i mean nobody died","false","2026-07-06T11:33:28.297Z"
"chat","8dbbc4aa-3245-4c80-ad23-6104c9e82ee3","IRODXS","CLASSIC","VILLAGERS","1","DAY","Gray","WEREWOLF","","so thats good","false","2026-07-06T11:33:30.601Z"
