type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-20T11:42:25.601Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Orange","WEREWOLF","","good night","false","2026-07-20T11:42:30.717Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Orange","WEREWOLF","","who do you want to eat tonight","false","2026-07-20T11:42:39.727Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Cyan","WEREWOLF","","hello","false","2026-07-20T11:42:41.002Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Cyan","WEREWOLF","","everyone if possible","false","2026-07-20T11:42:48.083Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Cyan","WEREWOLF","","start with gold?","false","2026-07-20T11:42:52.398Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Orange","WEREWOLF","","lets go for beige","false","2026-07-20T11:42:52.611Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Cyan","WEREWOLF","","beige is fine","false","2026-07-20T11:42:56.318Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Orange","WEREWOLF","","okay great","false","2026-07-20T11:43:02.568Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","NIGHT","Orange","WEREWOLF","","beige looks innocent","false","2026-07-20T11:43:07.931Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Beige (villager) was found dead.","true","2026-07-20T11:43:12.030Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-20T11:43:12.044Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Cyan","WEREWOLF","","morning","false","2026-07-20T11:43:17.734Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Red","VILLAGER","","hi","false","2026-07-20T11:43:29.350Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Orange","WEREWOLF","","hi","false","2026-07-20T11:43:34.553Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Violet","WITCH","","sup","false","2026-07-20T11:43:38.381Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Gold","VILLAGER","","gold for mayor","false","2026-07-20T11:43:40.321Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Cyan","WEREWOLF","","i give red my vote. im all for the bloody emeror","false","2026-07-20T11:43:41.096Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Cyan","WEREWOLF","","*emperor","false","2026-07-20T11:44:08.556Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","System","","","Red has been elected Mayor. Their vote counts double.","true","2026-07-20T11:44:12.070Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","White","VILLAGER","","hi","false","2026-07-20T11:44:18.145Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","White","VILLAGER","","can't werewolves reveal themselves","false","2026-07-20T11:44:42.329Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","White","VILLAGER","","i am tired","false","2026-07-20T11:44:45.081Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Red","VILLAGER","","lol","false","2026-07-20T11:44:49.540Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Gold","VILLAGER","","maybe we go all in on green?","false","2026-07-20T11:45:03.927Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","White","VILLAGER","","why green","false","2026-07-20T11:45:11.047Z"
"chat","b3f6285c-f845-49b2-b5e2-13e2781d374d","LX9VJS","CLASSIC","VILLAGERS","1","DAY","Green","SEER","","why haha","false","2026-07-20T11:45:14.526Z"
