type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-20T10:09:24.015Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","Sup?","false","2026-07-20T10:09:30.569Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","we have matching colors","false","2026-07-20T10:09:33.070Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","this can only end great :)","false","2026-07-20T10:09:39.363Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","haha yeah","false","2026-07-20T10:09:43.532Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","kill gray?","false","2026-07-20T10:09:45.297Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","kill gray","false","2026-07-20T10:09:50.280Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","NIGHT","Purple","WEREWOLF","","kill gray!","false","2026-07-20T10:09:56.065Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-20T10:10:06.967Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-20T10:10:06.983Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","DAY","Purple","WEREWOLF","","morning","false","2026-07-20T10:10:16.346Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","DAY","Green","VILLAGER","","moin","false","2026-07-20T10:10:20.488Z"
"chat","d0ab00de-18fc-4281-895f-efd8e6166c2d","RU0YOP","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","hi","false","2026-07-20T10:10:22.830Z"
