type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-07T09:34:04.694Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","NIGHT","Beige","WEREWOLF","","evening","false","2026-07-07T09:34:09.480Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","NIGHT","Beige","WEREWOLF","","lets kill orange","false","2026-07-07T09:34:12.704Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","NIGHT","Yellow","WEREWOLF","","hey","false","2026-07-07T09:34:13.823Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","NIGHT","Yellow","WEREWOLF","","ok","false","2026-07-07T09:34:15.943Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","NIGHT","Beige","WEREWOLF","","i dont like oranges","false","2026-07-07T09:34:20.529Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Orange (witch) was found dead.","true","2026-07-07T09:34:34.416Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-07T09:34:34.436Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","DAY","Beige","WEREWOLF","","oh","false","2026-07-07T09:34:39.823Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","DAY","Beige","WEREWOLF","","thats no good","false","2026-07-07T09:34:42.523Z"
"chat","4989eade-556f-4c61-a3fc-d3ee9292c1a2","SGE5TN","CLASSIC","VILLAGERS","1","DAY","Green","VILLAGER","","Hello everyone","false","2026-07-07T09:34:46.800Z"
