type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-08-03T11:10:58.466Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","NIGHT","Brown","WEREWOLF","","random?","false","2026-08-03T11:11:12.731Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","NIGHT","Brown","WEREWOLF","","blue?","false","2026-08-03T11:11:15.108Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","NIGHT","Magenta","WEREWOLF","","ok","false","2026-08-03T11:11:18.558Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Blue (villager) was found dead.","true","2026-08-03T11:11:25.897Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-08-03T11:11:25.921Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","damn","false","2026-08-03T11:11:33.587Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","someone messed up","false","2026-08-03T11:11:38.726Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Green","SEER","","morning","false","2026-08-03T11:11:40.256Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","moin","false","2026-08-03T11:11:51.551Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Green","SEER","","oh right","false","2026-08-03T11:12:10.220Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","Beige for mayor as always","false","2026-08-03T11:12:22.761Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","System","","","No one voted. Yellow was randomly selected as Mayor. Their vote counts double.","true","2026-08-03T11:12:25.939Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","ahahhaah","false","2026-08-03T11:12:31.469Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","that means bot is the mayor, right?","false","2026-08-03T11:12:46.726Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Green","SEER","","now yellow is mayor","false","2026-08-03T11:12:47.896Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Pink","VILLAGER","","crazy","false","2026-08-03T11:12:50.205Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","not good","false","2026-08-03T11:12:54.737Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","Bot mayor","false","2026-08-03T11:12:56.199Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","wow","false","2026-08-03T11:13:01.052Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Green","SEER","","hi Yellow, how are you?","false","2026-08-03T11:13:19.148Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Magenta","WEREWOLF","","at leas we are sure that they are not werewolf","false","2026-08-03T11:13:19.377Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","can it also text?","false","2026-08-03T11:13:20.168Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","are we going to still eliminate?","false","2026-08-03T11:13:41.338Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","it's weird","false","2026-08-03T11:13:51.551Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","not a good game record i feel","false","2026-08-03T11:14:01.670Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","yes","false","2026-08-03T11:14:09.131Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Green","SEER","","yes","false","2026-08-03T11:14:14.464Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Yellow","VILLAGER","","its alright","false","2026-08-03T11:14:16.802Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","Brown","WEREWOLF","","maybe we should meet up another time","false","2026-08-03T11:14:18.954Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-08-03T11:15:09.492Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted to skip. No one was eliminated.","true","2026-08-03T11:15:50.024Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-08-03T11:16:39.126Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","2","NIGHT","Brown","WEREWOLF","","any idea?","false","2026-08-03T11:17:01.381Z"
"chat","09e97494-0f76-4dc9-b5fc-55f6ae473ff7","TRFSN1","CLASSIC","VILLAGERS","2","NIGHT","Magenta","WEREWOLF","","I think yellow could be an option","false","2026-08-03T11:17:29.260Z"
