type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-07T10:04:55.287Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","Hi","false","2026-07-07T10:04:58.378Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","Blue","WEREWOLF","","hi","false","2026-07-07T10:05:02.748Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","Who should we kill?","false","2026-07-07T10:05:07.677Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","Blue","WEREWOLF","","lets kill yellow i dont like that color","false","2026-07-07T10:05:11.357Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","Me too like Moritz","false","2026-07-07T10:05:17.749Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","NIGHT","Gray","WEREWOLF","","^^","false","2026-07-07T10:05:28.964Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. Yellow (villager) was found dead.","true","2026-07-07T10:05:36.873Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-07T10:05:36.889Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Gray","WEREWOLF","","Good morning","false","2026-07-07T10:05:48.407Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Blue","WEREWOLF","","finally a good start","false","2026-07-07T10:05:54.014Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","morning","false","2026-07-07T10:05:55.022Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","Morning","false","2026-07-07T10:05:55.268Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Lime","WITCH","","heyy","false","2026-07-07T10:05:56.076Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","good, relatively speaking","false","2026-07-07T10:06:02.265Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Violet","VILLAGER","","Tasty meat?","false","2026-07-07T10:06:02.389Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Blue","WEREWOLF","","yeah no special role killed","false","2026-07-07T10:06:13.426Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Beige","SEER","","blue had a delicious night it seems","false","2026-07-07T10:06:18.747Z"
"chat","140e8697-48a6-4a13-9893-f2f14e166a5f","UBY0T7","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","Free busses for everyone","false","2026-07-07T10:06:28.245Z"
