type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-06-23T08:34:36.757Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","NIGHT","Blue","WEREWOLF","","Hi","false","2026-06-23T08:34:56.600Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","NIGHT","Gold","WEREWOLF","","lets kill green","false","2026-06-23T08:34:56.744Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","NIGHT","Blue","WEREWOLF","","ok","false","2026-06-23T08:34:59.441Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","NIGHT","Gold","WEREWOLF","","green looks innocent","false","2026-06-23T08:35:01.428Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-06-23T08:35:18.527Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-06-23T08:35:18.535Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","Witch saved whom?","false","2026-06-23T08:35:34.975Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","Werewolves tried to attack me I saved myself","false","2026-06-23T08:35:45.755Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Beige","SEER","","I don't want to be mayor","false","2026-06-23T08:35:48.463Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","i vote for beige then","false","2026-06-23T08:35:54.657Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Beige","SEER","","no","false","2026-06-23T08:36:01.267Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","YES!","false","2026-06-23T08:36:04.995Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Beige","SEER","",":(","false","2026-06-23T08:36:08.910Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gold","WEREWOLF","","not bad reverse psychology there beige","false","2026-06-23T08:36:13.855Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","make me mayor","false","2026-06-23T08:36:15.419Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","If nobody is contesting it I vote for green","false","2026-06-23T08:36:15.997Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","System","","","Green has been elected Mayor. Their vote counts double.","true","2026-06-23T08:36:18.590Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","Soo no mayor?","false","2026-06-23T08:36:34.491Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Blue","WEREWOLF","","Any ideas?","false","2026-06-23T08:36:37.002Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","green got elected","false","2026-06-23T08:36:40.847Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Beige","SEER","","Green is mayor","false","2026-06-23T08:36:40.978Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","Let's hope seer saw something","false","2026-06-23T08:36:42.204Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Blue","WEREWOLF","","oh wait no mayor","false","2026-06-23T08:36:45.771Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","green is mayor","false","2026-06-23T08:36:50.137Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","Huh doesnt show","false","2026-06-23T08:36:55.237Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","at least for me","false","2026-06-23T08:37:00.307Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","Am I it doesn't show","false","2026-06-23T08:37:01.988Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gold","WEREWOLF","","in the chat it says","false","2026-06-23T08:37:06.003Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","it sais in the chat","false","2026-06-23T08:37:06.901Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Red","VILLAGER","","yeah we can't see it","false","2026-06-23T08:37:11.194Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Blue","WEREWOLF","","a right","false","2026-06-23T08:37:12.150Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","anyways, do you know any leads?","false","2026-06-23T08:37:25.884Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Beige","SEER","","Any ideas?","false","2026-06-23T08:37:26.571Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Orange","VILLAGER","","yeah so green will probably be killed in the next round","false","2026-06-23T08:37:48.171Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","otherwise they'll kill me next round :(","false","2026-06-23T08:37:55.408Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","haha yes","false","2026-06-23T08:38:03.369Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","byeee, have a great night, green :)","false","2026-06-23T08:38:07.154Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","Green","WITCH","","gray is sus","false","2026-06-23T08:38:16.557Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","System","","","Voting begins.","true","2026-06-23T08:40:25.842Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","1","DAY","System","","","The village voted. Gray (villager) has been eliminated.","true","2026-06-23T08:40:44.831Z"
"chat","d25f0264-fb6f-4f92-9dc6-053711b59f20","VOKIJD","CLASSIC","WEREWOLVES","2","NIGHT","System","","","Night 2 begins.","true","2026-06-23T08:41:36.305Z"
