type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-27T10:38:48.689Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","NIGHT","Lime","WEREWOLF","","good night to you","false","2026-07-27T10:38:56.311Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","NIGHT","Yellow","WEREWOLF","","Evenin","false","2026-07-27T10:39:07.640Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","NIGHT","Lime","WEREWOLF","","whom to murder?","false","2026-07-27T10:39:09.307Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","NIGHT","Yellow","WEREWOLF","","Orange stands out","false","2026-07-27T10:39:18.829Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","NIGHT","Lime","WEREWOLF","","cool","false","2026-07-27T10:39:22.810Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-27T10:39:55.729Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-27T10:39:55.748Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","DAY","Lime","WEREWOLF","","thats cool","false","2026-07-27T10:40:05.251Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","DAY","Beige","VILLAGER","","Beige for Mayor","false","2026-07-27T10:40:12.317Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","DAY","Cyan","SEER","","hi","false","2026-07-27T10:40:15.146Z"
"chat","c82a99fa-ba0b-4236-b529-ba88c5ded3c4","XCLW25","CLASSIC","VILLAGERS","1","DAY","Lime","WEREWOLF","","anyways, i vote for gray","false","2026-07-27T10:40:19.338Z"
