type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","NIGHT","System","","","Night 1 begins.","true","2026-07-20T10:47:51.276Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","NIGHT","Red","WEREWOLF","","who?","false","2026-07-20T10:47:59.754Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","NIGHT","Yellow","WEREWOLF","","blue","false","2026-07-20T10:48:04.637Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","NIGHT","Red","WEREWOLF","","ok","false","2026-07-20T10:48:07.243Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","System","","","Dawn breaks. Blue (villager) was found dead.","true","2026-07-20T10:48:19.823Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-20T10:48:19.838Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","red is a werewolf im the seer","false","2026-07-20T10:48:23.329Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Yellow","WEREWOLF","","ok same thing again XD","false","2026-07-20T10:48:35.692Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","","hi","false","2026-07-20T10:48:40.996Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Yellow","WEREWOLF","","we kill red and if he is not you","false","2026-07-20T10:48:42.998Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","kill him first, if i lie kill me","false","2026-07-20T10:48:43.026Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Orange","VILLAGER","","sounds convincing","false","2026-07-20T10:48:44.419Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Green","WITCH","","third in a row xD","false","2026-07-20T10:48:49.032Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","",":D","false","2026-07-20T10:48:53.358Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","also: witch protects me then we chillin","false","2026-07-20T10:49:01.417Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","","seer is lucky today","false","2026-07-20T10:49:03.499Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","*will protect, hopefully","false","2026-07-20T10:49:11.133Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","System","","","Beige has been elected Mayor. Their vote counts double.","true","2026-07-20T10:49:19.865Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Purple","VILLAGER","","nothing much to discuss","false","2026-07-20T10:49:38.609Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","red, is your name red because you've only seen red since your birth under a red moon?","false","2026-07-20T10:49:39.604Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","","i dont like my color cant we change it","false","2026-07-20T10:49:50.494Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","",".d","false","2026-07-20T10:49:56.037Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","will the bloodmoon rise again?","false","2026-07-20T10:50:12.017Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Green","WITCH","","Red has nothing to say?","false","2026-07-20T10:50:51.647Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Gray","VILLAGER","","waiting for its end","false","2026-07-20T10:51:01.809Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","Beige","SEER","","i think they are currently fleing the village","false","2026-07-20T10:51:03.700Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","System","","","Voting begins.","true","2026-07-20T10:52:36.647Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","1","DAY","System","","","The village voted. Red (werewolf) has been eliminated.","true","2026-07-20T10:52:46.843Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","NIGHT","System","","","Night 2 begins.","true","2026-07-20T10:53:32.517Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-20T10:53:43.299Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","purple is human","false","2026-07-20T10:54:46.892Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Green","WITCH","","I healed Beige","false","2026-07-20T10:54:52.772Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","i guess im dying next","false","2026-07-20T10:54:57.371Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","was nice knowing u","false","2026-07-20T10:55:01.676Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Yellow","WEREWOLF","","so green beige and purple are save","false","2026-07-20T10:55:02.011Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","nobody contesting being the witch besides green?","false","2026-07-20T10:55:14.868Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Orange","VILLAGER","","anyone can just claim to have done it","false","2026-07-20T10:55:30.400Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Gray","VILLAGER","","me too","false","2026-07-20T10:55:37.490Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","yes, thats why im asking","false","2026-07-20T10:55:39.648Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Gray","VILLAGER","","i am villager","false","2026-07-20T10:55:41.209Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Green","WITCH","","Yeah but I could kill this person next round otheriwse, seer will survive","false","2026-07-20T10:56:02.506Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Orange","VILLAGER","","so green does not have to be the witch","false","2026-07-20T10:56:02.506Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","since nobody contests it. im just gonna trust green","false","2026-07-20T10:56:15.929Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Gray","VILLAGER","","either orange or yellow then?","false","2026-07-20T10:56:20.145Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Yellow","WEREWOLF","","gray or orange","false","2026-07-20T10:56:32.970Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Orange","VILLAGER","","Last round someone else claimed to be witch aswell","false","2026-07-20T10:56:36.680Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","Beige","SEER","","gray seems sus, but just a feeling","false","2026-07-20T10:56:40.137Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","System","","","Voting begins.","true","2026-07-20T10:57:59.364Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","2","DAY","System","","","The village voted. Gray (villager) has been eliminated.","true","2026-07-20T10:58:16.909Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","3","NIGHT","System","","","Night 3 begins.","true","2026-07-20T10:59:24.747Z"
"chat","9de2d6d0-2236-4d73-a8bf-7c087fa26117","YMWXKN","CLASSIC","VILLAGERS","3","DAY","System","","","Dawn breaks. Beige (seer) was found dead.","true","2026-07-20T10:59:47.141Z"
