type,game_id,room_code,game_mode,winner,round,phase,player_name,player_role,target_name,content,is_system,timestamp
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","NIGHT","System","","","Night 1 begins.","true","2026-07-06T10:49:34.337Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","Any ideas?","false","2026-07-06T10:49:42.797Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","NIGHT","Pink","WEREWOLF","","lets go with brown","false","2026-07-06T10:49:48.424Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","NIGHT","Yellow","WEREWOLF","","Ok ^^","false","2026-07-06T10:49:52.447Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","System","","","Dawn breaks. The witch saved someone from the werewolves tonight. No one was killed.","true","2026-07-06T10:50:06.410Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","System","","","The village must elect a Mayor.","true","2026-07-06T10:50:06.424Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","witch was witching","false","2026-07-06T10:50:18.118Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","Hello everyone again","false","2026-07-06T10:50:19.495Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","gooood morining!","false","2026-07-06T10:50:24.532Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Brown","WITCH","","helloo","false","2026-07-06T10:50:28.755Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Pink","WEREWOLF","","hi","false","2026-07-06T10:50:30.254Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Lime","SEER","","hello","false","2026-07-06T10:50:31.583Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","How are ya","false","2026-07-06T10:50:32.700Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","good, good having a lovely villager day","false","2026-07-06T10:50:48.161Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","hi","false","2026-07-06T10:50:53.942Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","nice to hear","false","2026-07-06T10:50:55.367Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","Did you have something nice to eat?","false","2026-07-06T10:51:02.984Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","System","","","Blue has been elected Mayor. Their vote counts double.","true","2026-07-06T10:51:06.455Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","only non human based meat soup","false","2026-07-06T10:51:25.410Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Pink","WEREWOLF","","you guys are awfully polite, kind of sus","false","2026-07-06T10:51:29.487Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Pink","WEREWOLF","","blue is the most fake","false","2026-07-06T10:51:35.911Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Gray","VILLAGER","","is it bc witch saved the human?","false","2026-07-06T10:51:38.705Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","xD","false","2026-07-06T10:51:40.562Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","are you more on the rude side pink? :D","false","2026-07-06T10:51:45.483Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Brown","WITCH","","hahaha","false","2026-07-06T10:51:47.865Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Pink","WEREWOLF","","i am a realist","false","2026-07-06T10:51:53.445Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","hes just jelly cuz he can only affort wheat","false","2026-07-06T10:52:04.395Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Beige","VILLAGER","","Witch saving people in the first round and not telling feels like dragging things out","false","2026-07-06T10:52:09.641Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Pink","WEREWOLF","","and we need to get rid of those werewolf before they kill any more of us","false","2026-07-06T10:52:11.323Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","why beige they wanna stay alive","false","2026-07-06T10:52:25.228Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","That's true, but we don't have many clues right now","false","2026-07-06T10:52:26.021Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Magenta","VILLAGER","","if they tell out instant death","false","2026-07-06T10:52:36.320Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Pink","WEREWOLF","","living as a farmer is kind of hard you know","false","2026-07-06T10:52:40.500Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Blue","VILLAGER","","i mean witch as still the other potion. so its a choice i guess","false","2026-07-06T10:52:40.743Z"
"chat","db57e1a8-c7d5-4ef1-9a78-ca058b00d3d9","ZBQNPB","CLASSIC","WEREWOLVES","1","DAY","Yellow","WEREWOLF","","Yes always","false","2026-07-06T10:52:43.737Z"
